For K Gaussians,Mu k=1,Mu k=2,Mu k=3,Mu k=4,Mu k=5,Mu k=6,Mu k=7,Mu k=8,Mu k=9,Mu k=10
1,2970.424623115578,2193.1866528100745,2822.3107879396734,4228.912782158781,4275.513890234199,3368.6443756576755,4309.934355032452,3432.441811983838,2101.6176401800585,2599.0725018374114
2,,3417.433747474096,4076.0350817155922,2695.06619984072,2100.8401124611196,2098.9366251207584,3340.92307128281,3312.2530461362608,2761.036233920923,4310.946246653011
3,,,2089.405632852936,2098.200432195356,2684.361425389055,2792.3442183417196,4844.45940053245,2104.757005976225,3421.1842783931475,4792.053060817335
4,,,,3360.96855900513,3330.6440013869683,2669.6147558855964,2665.709608526524,2644.5185870097835,4270.490633900048,3944.3624562335276
5,,,,,3446.1383734788565,3711.7567607731003,3391.4104080708585,3947.377693085329,3263.770391327934,2197.341192635592
6,,,,,,4279.592817388014,3387.7500029327607,4803.9206144733935,2690.813110760153,3273.7353271561947
7,,,,,,,2100.3852814669604,4312.478287762163,3387.1275215336223,2004.3283013001096
8,,,,,,,,2823.2126819030286,2638.037453407106,2552.802157217939
9,,,,,,,,,3376.0495987153345,3374.5852940406476
10,,,,,,,,,,3189.096604280297
